SECCION,GANADOR,CODIGO_ESTADO,MUN_IFE,MUN_INEGI,TOTAL,HOMBRES,MUJERES,HIJOS,ENTIDAD_NAC,ENTIDAD_INM,ENTIDAD_MIG,LIMITACION,ANALFABETISMO,EDUCACION_AV,PEA,NO_SERV_SALUD,MATRIMONIOS,HOGARES,HOGARES_JEFA,HOGARES_POB,AUTO
1,CPRI,5,1,1,760,49.86842105,50.13157895,2.53,94.07894737,95.43509272,1.426533524,10.78947368,2.288732394,23.71916509,41.05263158,49.21052632,59.15721232,243,26.33744856,312.7572016,64.19753086
2,CPRI,5,1,1,311,48.87459807,51.12540193,2.82,95.17684887,96.59863946,0.340136054,12.86173633,6.923076923,12.14574899,34.40514469,6.430868167,58.82352941,118,20.33898305,263.559322,49.15254237
3,CPAN,5,2,2,3083,49.56211482,50.43788518,2.39,77.19753487,94.75777296,1.735357918,4.703211158,1.235697941,31.06747231,43.5614661,21.18066818,53.7123462,791,25.28445006,384.0707965,58.7863464
4,CPAN,5,2,2,6874,50.27640384,49.72359616,2.28,78.46959558,96.08758654,1.529544357,4.058772185,2.626351799,25.99118943,40.55862671,21.95228397,57.46372491,1732,19.86143187,395.8429561,59.12240185
5,CPAN,5,2,2,1928,48.75518672,51.24481328,2.52,77.02282158,97.09302326,1.104651163,5.394190871,3.816199377,28.76712329,37.60373444,29.40871369,54.73833098,489,22.29038855,385.0715746,65.23517382
6,CPAN,5,2,2,997,49.74924774,50.25075226,2.49,77.7331996,98.45814978,0.110132159,5.315947844,4.227212682,37.14285714,41.52457372,31.59478435,53.76884422,305,32.13114754,320,68.19672131
7,CPAN,5,2,2,1442,51.52565881,48.47434119,2.43,75.31206657,94.40184049,3.911042945,4.993065187,3.216374269,39.70432946,39.32038835,25.8668516,55.09467989,420,25.95238095,336.1904762,71.66666667
8,CPAN,5,2,2,1446,51.65975104,48.34024896,2.41,78.21576763,96.60493827,1.157407407,3.734439834,1.825168108,28.82599581,41.56293223,20.12448133,53.08310992,408,25,341.9117647,60.78431373
10,CPAN,5,2,2,10791,50.48651654,49.51348346,2.18,76.68427393,95.39695946,3.304476351,3.55852099,2.632331903,29.2022792,41.73848578,18.74710407,60.98543942,2770,17.25631769,386.2093863,60.28880866
11,CPAN,5,2,2,3094,51.4221073,48.5778927,2.26,79.18552036,96.23520975,1.362495518,4.912734324,2.69179004,29.51219512,43.85908209,23.04460246,56.49647156,791,20.73324905,369.0265487,65.86599241
