"SECCION","CPRI","CPAN","GOB_CI1","MORENA","PREDICCION","REAL"
19,0.55682,0.43888,0.0042,1e-04,"CPRI","CPAN"
25,0.11408,0.81222,0.01952,0.05418,"CPAN","CPAN"
36,0.62228,0.32944,0.0211,0.02718,"CPRI","CPAN"
37,0.72156,0.25864,0.00712,0.01268,"CPRI","CPAN"
49,0.45252,0.5432,0.00356,0.00072,"CPAN","CPAN"
78,0.6845,0.04924,0.02756,0.2387,"CPRI","CPRI"
79,0.90216,0.04968,0.00542,0.04274,"CPRI","CPRI"
80,0.89778,0.03812,0.00504,0.05906,"CPRI","CPRI"
87,0.35508,0.62376,0.01544,0.00572,"CPAN","CPRI"
109,0.8389,0.07188,0.01008,0.07914,"CPRI","CPRI"
112,0.23008,0.46962,0.00718,0.29312,"CPAN","CPRI"
131,0.80878,0.18124,0.00774,0.00224,"CPRI","CPRI"
133,0.7028,0.246,0.04462,0.00658,"CPRI","CPRI"
139,0.3408,0.47786,0.05846,0.12288,"CPAN","CPRI"
164,0.83108,0.12018,0.00642,0.04232,"CPRI","CPRI"
167,0.86932,0.1027,0.00836,0.01962,"CPRI","CPAN"
174,0.34574,0.65084,0.00332,1e-04,"CPAN","CPRI"
179,0.4232,0.54754,0.0158,0.01346,"CPAN","CPRI"
183,0.58606,0.40906,0.00456,0.00032,"CPRI","CPRI"
187,0.2146,0.77598,0.00808,0.00134,"CPAN","CPAN"
210,0.61036,0.38804,0.00136,0.00024,"CPRI","CPRI"
225,0.87144,0.02178,0.00632,0.10046,"CPRI","CPAN"
235,0.52948,0.11376,0.0042,0.35256,"CPRI","CPRI"
238,0.48012,0.37336,0.0206,0.12592,"CPRI","CPRI"
239,0.36916,0.31922,0.04282,0.2688,"CPRI","CPRI"
243,0.75512,0.23942,0.00214,0.00332,"CPRI","CPRI"
248,0.69096,0.10656,0.00472,0.19776,"CPRI","CPRI"
256,0.67086,0.3055,0.00582,0.01782,"CPRI","CPAN"
257,0.80176,0.15456,0.0383,0.00538,"CPRI","CPRI"
258,0.7855,0.2035,0.01076,0.00024,"CPRI","CPRI"
265,0.14892,0.76804,0.0415,0.04154,"CPAN","CPAN"
275,0.60754,0.24246,0.0844,0.0656,"CPRI","CPRI"
297,0.8102,0.18088,0.00726,0.00166,"CPRI","CPRI"
299,0.73648,0.04976,0.00204,0.21172,"CPRI","CPAN"
328,0.4261,0.56782,0.00594,0.00014,"CPAN","CPRI"
329,0.76206,0.23664,0.00112,0.00018,"CPRI","CPRI"
344,0.02166,0.867,0.00424,0.1071,"CPAN","CPAN"
352,0.1889,0.77148,0.02614,0.01348,"CPAN","CPRI"
357,0.00178,0.93476,0.00164,0.06182,"CPAN","CPAN"
378,0.76522,0.22896,0.00516,0.00066,"CPRI","CPRI"
393,0.17156,0.8153,0.01308,6e-05,"CPAN","CPRI"
397,0.31352,0.67902,0.0064,0.00106,"CPAN","CPAN"
403,0.2783,0.6078,0.01108,0.10282,"CPAN","CPRI"
408,0.25992,0.71228,0.01858,0.00922,"CPAN","CPAN"
417,0.34938,0.5635,0.02016,0.06696,"CPAN","CPAN"
419,0.26312,0.71772,0.0084,0.01076,"CPAN","CPAN"
420,0.40358,0.5025,0.037,0.05692,"CPAN","CPAN"
436,0.1728,0.80156,0.0104,0.01524,"CPAN","CPAN"
444,0.44136,0.52792,0.0047,0.02602,"CPAN","CPAN"
457,0.55544,0.43934,0.0043,0.00092,"CPRI","CPAN"
462,0.2836,0.71144,0.00484,0.00012,"CPAN","CPAN"
470,0.85726,0.13802,0.00298,0.00174,"CPRI","CPRI"
477,0.57228,0.40964,0.00338,0.0147,"CPRI","CPRI"
480,0.42938,0.5566,0.00592,0.0081,"CPAN","CPRI"
486,0.66464,0.3322,0.00246,7e-04,"CPRI","CPRI"
490,0.67878,0.32066,0.00046,1e-04,"CPRI","CPRI"
492,0.74972,0.24702,0.00206,0.0012,"CPRI","CPRI"
497,0.4136,0.58572,0.00038,3e-04,"CPAN","CPRI"
500,0.36128,0.62812,0.00854,0.00206,"CPAN","CPRI"
502,0.41368,0.58372,0.0024,2e-04,"CPAN","CPRI"
512,0.59408,0.39946,0.00236,0.0041,"CPRI","CPRI"
534,0.5756,0.12736,7e-04,0.29634,"CPRI","CPRI"
539,0.07118,0.88648,0.00578,0.03656,"CPAN","CPRI"
577,0.7201,0.27706,0.00266,0.00018,"CPRI","CPAN"
593,0.02306,0.88616,0.01746,0.07332,"CPAN","CPAN"
598,0.113,0.85062,0.02952,0.00686,"CPAN","CPAN"
603,0.08584,0.90316,0.01058,0.00042,"CPAN","CPAN"
608,0.2504,0.72732,0.01858,0.0037,"CPAN","CPAN"
609,0.30452,0.44016,0.00696,0.24836,"CPAN","CPAN"
621,0.72192,0.21882,0.00944,0.04982,"CPRI","CPRI"
623,0.13326,0.8321,0.01556,0.01908,"CPAN","CPAN"
627,0.07444,0.8195,0.01616,0.0899,"CPAN","CPAN"
634,0.23426,0.75174,0.0061,0.0079,"CPAN","CPAN"
637,0.70988,0.2848,0.00456,0.00076,"CPRI","CPRI"
687,0.57958,0.03574,0.01922,0.36546,"CPRI","CPRI"
690,0.92756,0.07102,0.00034,0.00108,"CPRI","CPRI"
698,0.09446,0.79178,0.00962,0.10414,"CPAN","CPAN"
708,0.61054,0.38638,0.00288,2e-04,"CPRI","CPAN"
724,0.56822,0.42984,0.00186,8e-05,"CPRI","CPAN"
774,0.10004,0.81144,0.01608,0.07244,"CPAN","CPRI"
795,0.50202,0.44362,0.03022,0.02414,"CPRI","CPRI"
810,0.00306,0.95898,0.00396,0.034,"CPAN","CPAN"
820,0.59828,0.38482,0.01536,0.00154,"CPRI","CPRI"
833,0.04504,0.8812,0.02916,0.0446,"CPAN","CPAN"
837,0.45384,0.45336,0.07954,0.01326,"CPRI","CPRI"
848,0.03706,0.9279,0.03338,0.00166,"CPAN","CPAN"
875,0.07348,0.86312,0.05948,0.00392,"CPAN","CPAN"
889,0.53282,0.38334,0.04102,0.04282,"CPRI","CPRI"
891,0.08474,0.88338,0.02478,0.0071,"CPAN","CPAN"
892,0.05788,0.89382,0.02956,0.01874,"CPAN","CPAN"
928,0.87376,0.0721,0.01632,0.03782,"CPRI","CPRI"
940,0.4896,0.32356,0.06944,0.1174,"CPRI","CPRI"
943,0.5235,0.47172,0.00466,0.00012,"CPRI","CPRI"
954,0.36488,0.4972,0.04132,0.0966,"CPAN","CPRI"
962,0.298,0.40146,0.02472,0.27582,"CPAN","CPRI"
963,0.50718,0.36586,0.07888,0.04808,"CPRI","CPRI"
967,0.88216,0.09692,0.01308,0.00784,"CPRI","CPRI"
983,0.08556,0.8555,0.0362,0.02274,"CPAN","CPRI"
985,0.4591,0.48898,0.02556,0.02636,"CPAN","CPRI"
991,0.10584,0.7929,0.04168,0.05958,"CPAN","CPAN"
1085,0.06548,0.89748,0.01742,0.01962,"CPAN","CPAN"
1092,0.55982,0.43214,0.00788,0.00016,"CPRI","CPRI"
1099,0.46662,0.35838,0.05184,0.12316,"CPRI","GOB_CI1"
1129,0.60514,0.2305,0.0787,0.08566,"CPRI","CPRI"
1130,0.74546,0.22372,0.02934,0.00148,"CPRI","CPAN"
1147,0.80878,0.07358,0.0487,0.06894,"CPRI","CPRI"
1148,0.9017,0.05744,0.0234,0.01746,"CPRI","CPRI"
1173,0.74158,0.23562,0.0212,0.0016,"CPRI","CPAN"
1179,0.78268,0.21384,0.00344,4e-05,"CPRI","CPRI"
1185,0.69932,0.18634,0.0686,0.04574,"CPRI","CPRI"
1196,0.38496,0.58704,0.02748,0.00052,"CPAN","CPAN"
1205,0.01522,0.8891,0.0099,0.08578,"CPAN","CPAN"
1207,0.00332,0.9277,0.00218,0.0668,"CPAN","CPAN"
1212,0.24416,0.74402,0.01106,0.00076,"CPAN","CPAN"
1216,0.0156,0.92168,0.01058,0.05214,"CPAN","CPAN"
1223,0.28274,0.68348,0.03326,0.00052,"CPAN","CPAN"
1224,0.29318,0.6808,0.0259,0.00012,"CPAN","CPAN"
1225,0.25252,0.73266,0.01482,0,"CPAN","CPAN"
1232,0.035,0.8889,0.01446,0.06164,"CPAN","CPAN"
1233,0.03248,0.91102,0.0188,0.0377,"CPAN","CPAN"
1253,0.51744,0.41238,0.069,0.00118,"CPRI","CPRI"
1261,0.53044,0.43634,0.03262,6e-04,"CPRI","CPRI"
1262,0.636,0.32152,0.0403,0.00218,"CPRI","CPRI"
1266,0.6354,0.33002,0.03424,0.00034,"CPRI","CPRI"
1273,0.63784,0.35416,0.0078,2e-04,"CPRI","CPRI"
1278,0.86258,0.13418,0.00318,6e-05,"CPRI","CPRI"
1320,0.21756,0.74284,0.03746,0.00214,"CPAN","CPAN"
1339,0.2563,0.72032,0.02124,0.00214,"CPAN","CPAN"
1340,0.4541,0.53118,0.01412,6e-04,"CPAN","CPRI"
1342,0.75328,0.23542,0.01062,0.00068,"CPRI","CPRI"
1350,0.06906,0.88474,0.04102,0.00518,"CPAN","CPAN"
1351,0.12696,0.83434,0.03698,0.00172,"CPAN","CPAN"
1360,0.07946,0.86564,0.04502,0.00988,"CPAN","CPAN"
1370,0.15574,0.7883,0.05398,0.00198,"CPAN","CPAN"
1379,0.03556,0.9082,0.01898,0.03726,"CPAN","CPAN"
1381,0.05638,0.82824,0.0135,0.10188,"CPAN","CPAN"
1392,0.00224,0.9598,0.00264,0.03532,"CPAN","CPAN"
1401,0.00372,0.94556,0.00304,0.04768,"CPAN","CPAN"
1407,0.00342,0.95956,0.00532,0.0317,"CPAN","CPAN"
1425,0.66076,0.29012,0.0424,0.00672,"CPRI","CPRI"
1429,0.76326,0.19538,0.0368,0.00456,"CPRI","CPRI"
1441,0.42088,0.56634,0.01162,0.00116,"CPAN","CPRI"
1464,0.85112,0.14148,0.0073,1e-04,"CPRI","CPRI"
1492,0.88468,0.09592,0.01446,0.00494,"CPRI","CPRI"
1499,0.5692,0.4062,0.00398,0.02062,"CPRI","CPRI"
1505,0.6088,0.39042,0.00022,0.00056,"CPRI","CPRI"
1527,0.1262,0.79112,0.03874,0.04394,"CPAN","CPAN"
1545,0.12494,0.82104,0.05178,0.00224,"CPAN","CPAN"
1550,0.59128,0.40842,0.00024,6e-05,"CPRI","CPAN"
1556,0.45628,0.54028,0.0034,4e-05,"CPAN","CPRI"
1577,0.08644,0.89236,0.01948,0.00172,"CPAN","CPAN"
1599,0.97628,0.0211,0.00254,8e-05,"CPRI","CPRI"
1615,0.22932,0.72258,0.03966,0.00844,"CPAN","CPRI"
1618,0.38902,0.59774,0.01322,2e-05,"CPAN","CPRI"
1623,0.01986,0.93284,0.0092,0.0381,"CPAN","CPAN"
1629,0.40548,0.57648,0.0177,0.00034,"CPAN","CPRI"
1638,0.58136,0.41276,0.00584,4e-05,"CPRI","CPRI"
1639,0.63814,0.35998,0.00186,2e-05,"CPRI","CPRI"
1640,0.6221,0.3718,0.00602,8e-05,"CPRI","CPRI"
1643,0.75004,0.12864,0.02462,0.0967,"CPRI","CPRI"
1645,0.01618,0.91178,0.0075,0.06454,"CPAN","CPAN"
1646,0.36548,0.6288,0.0056,0.00012,"CPAN","CPRI"
1656,0.00526,0.9437,0.00456,0.04648,"CPAN","CPAN"
1677,0.7848,0.21454,6e-04,6e-05,"CPRI","CPRI"
