"ANO","ELECCION","CODIGO_ESTADO","NOMBRE_ESTADO","CODIGO_MUNICIPIO","NOMBRE_MUNICIPIO","DISTRITO_FEDERAL","SECCION","NOMINAL","PAN","PRI","PRD","PNA","PT","PVEM"
2009,"dif",19,"nuevo leon",1,"abasolo",12,1,784,118,256,91,102,12,16
2009,"dif",19,"nuevo leon",1,"abasolo",12,2,1433,236,444,148,130,15,26
2009,"dif",19,"nuevo leon",2,"agualeguas",12,3,881,328,286,0,5,1,3
2009,"dif",19,"nuevo leon",2,"agualeguas",12,4,430,133,156,0,3,2,3
2009,"dif",19,"nuevo leon",2,"agualeguas",12,5,574,176,174,0,6,2,1
2009,"dif",19,"nuevo leon",2,"agualeguas",12,6,661,183,234,2,3,0,3
2009,"dif",19,"nuevo leon",2,"agualeguas",12,7,287,70,91,0,0,0,0
2009,"dif",19,"nuevo leon",2,"agualeguas",12,8,417,119,153,0,0,2,0
2009,"dif",19,"nuevo leon",2,"agualeguas",12,9,373,112,117,0,0,0,1
2009,"dif",19,"nuevo leon",2,"agualeguas",12,10,382,105,148,2,0,0,0
2009,"dif",19,"nuevo leon",2,"agualeguas",12,11,246,66,86,0,0,0,0
2009,"dif",19,"nuevo leon",3,"los aldamas",12,12,494,150,157,0,3,0,0
2009,"dif",19,"nuevo leon",3,"los aldamas",12,13,620,167,215,0,5,0,3
2009,"dif",19,"nuevo leon",3,"los aldamas",12,15,490,202,88,0,1,1,0
2009,"dif",19,"nuevo leon",3,"los aldamas",12,16,550,130,178,1,8,2,2
2009,"dif",19,"nuevo leon",3,"los aldamas",12,17,452,121,136,2,4,1,0
2009,"dif",19,"nuevo leon",3,"los aldamas",12,19,185,24,56,0,18,0,2
2009,"dif",19,"nuevo leon",4,"allende",9,20,3264,542,1029,11,36,29,35
2009,"dif",19,"nuevo leon",4,"allende",9,21,2138,347,637,5,38,18,16
2009,"dif",19,"nuevo leon",4,"allende",9,22,1603,264,494,3,19,6,20
2009,"dif",19,"nuevo leon",4,"allende",9,23,1444,249,471,6,11,12,10
2009,"dif",19,"nuevo leon",4,"allende",9,24,762,142,306,4,16,1,3
2009,"dif",19,"nuevo leon",4,"allende",9,25,1463,295,539,2,21,1,23
2009,"dif",19,"nuevo leon",4,"allende",9,26,1374,269,548,3,26,8,13
2009,"dif",19,"nuevo leon",4,"allende",9,27,1039,211,404,2,12,15,9
2009,"dif",19,"nuevo leon",4,"allende",9,28,1865,299,661,10,27,15,24
2009,"dif",19,"nuevo leon",4,"allende",9,29,1652,214,529,2,31,44,24
2009,"dif",19,"nuevo leon",4,"allende",9,30,1709,215,502,2,27,58,21
2009,"dif",19,"nuevo leon",4,"allende",9,31,676,113,204,4,1,5,5
2009,"dif",19,"nuevo leon",4,"allende",9,32,754,147,194,0,14,8,2
2009,"dif",19,"nuevo leon",4,"allende",9,33,1076,230,333,2,13,5,6
2009,"dif",19,"nuevo leon",4,"allende",9,34,716,114,290,3,8,5,12
2009,"dif",19,"nuevo leon",4,"allende",9,35,292,70,90,0,4,1,3
2009,"dif",19,"nuevo leon",4,"allende",9,36,252,28,99,1,0,2,2
2009,"dif",19,"nuevo leon",4,"allende",9,37,565,84,193,0,6,17,4
2009,"dif",19,"nuevo leon",4,"allende",9,38,630,94,173,2,15,9,8
2009,"dif",19,"nuevo leon",5,"anahuac",12,39,1283,498,291,2,28,5,9
2009,"dif",19,"nuevo leon",5,"anahuac",12,40,1476,530,325,8,41,3,11
2009,"dif",19,"nuevo leon",5,"anahuac",12,41,1063,368,291,8,14,2,1
2009,"dif",19,"nuevo leon",5,"anahuac",12,42,1636,664,424,10,27,4,10
2009,"dif",19,"nuevo leon",5,"anahuac",12,43,1325,520,274,3,27,2,12
2009,"dif",19,"nuevo leon",5,"anahuac",12,44,1110,326,297,4,10,2,2
2009,"dif",19,"nuevo leon",5,"anahuac",12,45,886,332,178,3,9,5,5
2009,"dif",19,"nuevo leon",5,"anahuac",12,46,835,293,189,11,17,4,7
2009,"dif",19,"nuevo leon",5,"anahuac",12,47,862,311,220,1,13,3,3
2009,"dif",19,"nuevo leon",5,"anahuac",12,48,1449,543,294,1,9,3,18
2009,"dif",19,"nuevo leon",5,"anahuac",12,49,1026,393,238,0,14,2,3
2009,"dif",19,"nuevo leon",5,"anahuac",12,51,164,58,26,0,3,0,1
2009,"dif",19,"nuevo leon",5,"anahuac",12,52,242,92,31,0,1,0,1
2009,"dif",19,"nuevo leon",5,"anahuac",12,54,67,26,20,0,0,1,0
2009,"dif",19,"nuevo leon",5,"anahuac",12,55,175,65,38,0,2,0,1
2009,"dif",19,"nuevo leon",5,"anahuac",12,56,70,27,21,0,3,1,0
2009,"dif",19,"nuevo leon",5,"anahuac",12,57,104,37,31,1,2,1,1
2009,"dif",19,"nuevo leon",5,"anahuac",12,58,60,29,7,0,7,0,0
2009,"dif",19,"nuevo leon",5,"anahuac",12,59,64,21,22,0,0,2,0
2009,"dif",19,"nuevo leon",5,"anahuac",12,60,56,15,16,0,1,0,0
2009,"dif",19,"nuevo leon",5,"anahuac",12,61,383,138,94,0,1,1,2
2009,"dif",19,"nuevo leon",5,"anahuac",12,62,119,18,51,0,0,0,1
2009,"dif",19,"nuevo leon",6,"apodaca",2,63,NA,278,569,15,35,17,48
2009,"dif",19,"nuevo leon",6,"apodaca",2,64,10099,2047,2338,122,220,66,321
2009,"dif",19,"nuevo leon",6,"apodaca",2,65,12448,1596,2650,112,305,81,326
2009,"dif",19,"nuevo leon",6,"apodaca",2,66,3488,408,928,28,72,23,72
2009,"dif",19,"nuevo leon",6,"apodaca",2,67,13321,2167,3207,190,494,124,474
