"ANO","ELECCION","CODIGO_ESTADO","ESTADO","SECCION","CC1_GOB17","CC2_GOB17","CC3_GOB17","PAN","PNA","PRD","PRI","PSI","PT","PUDC","PVEM"
"2017","gob",5,"coahuila",1,0,0,0,197,1,0,313,1,1,0,2
"2017","gob",5,"coahuila",2,5,1,0,102,0,0,107,0,1,0,0
"2017","gob",5,"coahuila",3,25,0,0,174,1,19,111,0,4,122,3
"2017","gob",5,"coahuila",3,30,0,0,203,3,0,133,1,3,132,1
"2017","gob",5,"coahuila",3,28,1,0,164,1,11,115,0,3,129,4
"2017","gob",5,"coahuila",3,42,0,0,151,0,10,129,1,2,99,3
"2017","gob",5,"coahuila",4,20,1,0,241,2,24,151,1,2,162,2
"2017","gob",5,"coahuila",4,24,1,0,248,0,18,128,0,2,163,4
"2017","gob",5,"coahuila",4,35,1,0,227,0,19,169,0,4,158,5
"2017","gob",5,"coahuila",4,26,0,0,207,0,30,153,0,3,153,2
"2017","gob",5,"coahuila",4,26,1,0,225,1,16,146,1,5,159,6
"2017","gob",5,"coahuila",4,13,1,0,239,1,20,164,0,4,164,2
"2017","gob",5,"coahuila",4,14,2,0,261,2,17,146,1,4,178,3
"2017","gob",5,"coahuila",5,25,0,0,173,3,7,76,0,4,114,10
"2017","gob",5,"coahuila",5,26,1,0,165,1,9,95,2,3,108,6
"2017","gob",5,"coahuila",5,27,0,0,137,0,8,76,2,2,91,10
"2017","gob",5,"coahuila",6,16,0,0,130,1,7,80,1,1,79,3
"2017","gob",5,"coahuila",6,23,0,0,131,1,4,85,1,1,65,2
"2017","gob",5,"coahuila",7,27,0,0,185,3,6,97,0,1,100,1
"2017","gob",5,"coahuila",7,33,0,0,156,1,8,110,0,5,87,4
"2017","gob",5,"coahuila",8,19,1,0,172,7,17,128,0,4,103,1
"2017","gob",5,"coahuila",8,28,0,0,154,1,4,137,3,3,101,1
"2017","gob",5,"coahuila",10,23,2,0,189,3,21,126,0,3,127,3
"2017","gob",5,"coahuila",10,21,0,0,175,2,7,127,0,3,105,3
"2017","gob",5,"coahuila",10,21,1,0,209,2,11,96,0,2,144,3
"2017","gob",5,"coahuila",10,0,0,0,0,0,0,0,0,0,0,0
"2017","gob",5,"coahuila",10,16,0,0,190,3,24,116,0,5,131,1
"2017","gob",5,"coahuila",10,14,0,0,211,0,12,123,1,4,129,3
"2017","gob",5,"coahuila",10,24,0,0,200,2,15,118,0,1,148,7
"2017","gob",5,"coahuila",10,28,0,0,188,1,24,129,0,6,117,3
"2017","gob",5,"coahuila",10,28,1,0,197,3,12,122,0,4,121,3
"2017","gob",5,"coahuila",10,25,0,0,211,2,19,140,1,6,133,3
"2017","gob",5,"coahuila",10,14,0,0,208,2,16,128,0,6,135,5
"2017","gob",5,"coahuila",10,24,0,0,187,2,15,150,0,2,111,3
"2017","gob",5,"coahuila",10,20,2,0,180,0,23,128,1,3,110,7
"2017","gob",5,"coahuila",10,0,0,0,0,0,0,0,0,0,0,0
"2017","gob",5,"coahuila",10,24,1,0,197,0,16,122,2,4,124,6
"2017","gob",5,"coahuila",10,24,1,0,233,0,11,112,2,0,150,4
"2017","gob",5,"coahuila",10,23,0,0,197,1,26,121,1,4,127,4
"2017","gob",5,"coahuila",10,16,1,0,217,2,23,119,2,6,145,6
"2017","gob",5,"coahuila",10,17,0,0,207,3,17,141,2,13,138,4
"2017","gob",5,"coahuila",10,24,0,0,182,3,27,135,1,2,112,2
"2017","gob",5,"coahuila",11,24,0,0,195,3,16,130,1,6,132,2
"2017","gob",5,"coahuila",11,20,1,0,179,4,11,137,0,0,103,4
"2017","gob",5,"coahuila",11,20,2,0,192,2,14,106,1,1,139,2
"2017","gob",5,"coahuila",11,23,2,0,181,5,20,130,0,5,118,5
"2017","gob",5,"coahuila",12,23,0,0,179,5,11,112,0,6,114,0
"2017","gob",5,"coahuila",12,0,0,21,189,2,6,107,1,0,123,4
"2017","gob",5,"coahuila",12,22,0,0,167,2,10,133,1,1,100,6
"2017","gob",5,"coahuila",12,34,1,0,191,3,20,118,0,2,135,1
"2017","gob",5,"coahuila",12,20,0,0,186,5,11,131,0,1,113,4
"2017","gob",5,"coahuila",13,22,1,0,136,6,5,97,0,1,66,1
"2017","gob",5,"coahuila",14,17,0,0,102,3,4,79,1,0,67,3
"2017","gob",5,"coahuila",14,19,0,0,94,3,3,57,2,1,46,1
"2017","gob",5,"coahuila",15,38,3,0,201,2,15,162,3,3,116,3
"2017","gob",5,"coahuila",16,26,0,0,123,1,2,83,2,1,52,1
"2017","gob",5,"coahuila",16,25,0,0,96,2,3,87,0,0,44,3
"2017","gob",5,"coahuila",17,28,0,0,125,1,2,51,1,1,61,0
"2017","gob",5,"coahuila",17,22,0,0,118,1,3,63,0,0,55,2
"2017","gob",5,"coahuila",17,65,1,0,296,15,5,130,0,3,125,4
"2017","gob",5,"coahuila",18,26,1,0,185,1,13,104,0,3,101,4
"2017","gob",5,"coahuila",18,38,1,0,166,5,10,118,1,5,115,3
"2017","gob",5,"coahuila",18,27,1,0,149,1,10,123,1,3,80,2
"2017","gob",5,"coahuila",19,26,1,0,212,0,10,121,2,3,145,2
"2017","gob",5,"coahuila",19,26,2,0,233,2,17,119,1,1,164,3
"2017","gob",5,"coahuila",19,25,3,0,218,2,20,124,2,5,154,5
"2017","gob",5,"coahuila",19,29,0,0,246,4,14,98,1,1,162,2
"2017","gob",5,"coahuila",19,19,3,0,214,1,19,133,1,3,141,1
"2017","gob",5,"coahuila",19,30,1,0,201,1,17,121,0,2,136,5
"2017","gob",5,"coahuila",19,21,1,0,209,0,11,141,0,1,140,2
"2017","gob",5,"coahuila",19,28,0,0,196,4,16,119,1,3,137,3
"2017","gob",5,"coahuila",19,31,3,0,224,2,23,125,0,5,142,2
"2017","gob",5,"coahuila",19,22,1,0,237,0,11,108,1,3,160,1
"2017","gob",5,"coahuila",19,43,2,0,226,4,10,122,2,6,151,6
"2017","gob",5,"coahuila",19,29,0,0,207,0,21,105,0,3,139,0
"2017","gob",5,"coahuila",19,27,0,0,203,3,14,132,0,6,132,4
"2017","gob",5,"coahuila",19,24,1,0,223,1,11,124,1,3,158,0
"2017","gob",5,"coahuila",20,22,0,0,155,2,3,72,0,1,90,0
"2017","gob",5,"coahuila",20,28,1,0,127,2,6,80,1,3,71,2
"2017","gob",5,"coahuila",21,9,1,0,157,1,10,92,1,3,102,2
"2017","gob",5,"coahuila",21,6,0,0,168,1,7,93,1,2,115,1
"2017","gob",5,"coahuila",22,8,0,0,126,2,0,69,0,1,93,1
"2017","gob",5,"coahuila",22,8,0,0,121,0,7,70,5,2,78,1
"2017","gob",5,"coahuila",23,22,0,0,129,2,7,108,0,4,66,1
"2017","gob",5,"coahuila",24,17,0,0,170,3,6,110,0,0,87,1
"2017","gob",5,"coahuila",25,26,1,0,186,2,4,101,1,4,102,1
"2017","gob",5,"coahuila",25,28,0,0,200,0,4,91,0,1,103,4
"2017","gob",5,"coahuila",25,32,1,0,148,2,1,99,1,3,47,2
"2017","gob",5,"coahuila",26,54,0,0,282,6,2,114,0,2,167,1
"2017","gob",5,"coahuila",27,13,0,0,131,1,7,68,2,2,86,3
"2017","gob",5,"coahuila",27,22,0,0,112,1,8,74,3,3,81,1
"2017","gob",5,"coahuila",28,23,1,0,214,0,16,125,0,2,144,1
"2017","gob",5,"coahuila",28,25,2,0,196,4,13,153,2,5,127,8
"2017","gob",5,"coahuila",29,0,0,0,149,1,11,101,1,2,101,5
"2017","gob",5,"coahuila",29,12,0,0,173,1,13,106,0,1,112,3
"2017","gob",5,"coahuila",29,13,0,0,158,3,8,98,1,2,112,3
"2017","gob",5,"coahuila",30,50,2,0,202,3,6,97,0,0,103,1
"2017","gob",5,"coahuila",30,64,0,0,189,5,7,93,1,0,98,1
"2017","gob",5,"coahuila",31,33,0,0,237,3,9,118,2,1,145,4
"2017","gob",5,"coahuila",31,32,0,0,226,3,9,106,0,2,151,1
"2017","gob",5,"coahuila",31,40,0,0,216,5,14,115,1,1,136,9
"2017","gob",5,"coahuila",31,32,2,0,234,2,12,114,1,5,146,3
"2017","gob",5,"coahuila",31,33,1,0,224,1,10,102,1,4,158,2
"2017","gob",5,"coahuila",31,32,1,0,209,6,22,142,3,0,148,6
"2017","gob",5,"coahuila",31,46,1,1,225,8,15,125,0,2,153,2
"2017","gob",5,"coahuila",31,23,0,0,209,0,8,129,0,6,151,3
"2017","gob",5,"coahuila",31,29,0,0,214,12,12,101,1,7,135,3
"2017","gob",5,"coahuila",32,8,0,0,99,1,2,113,1,2,61,4
"2017","gob",5,"coahuila",32,5,0,0,88,2,4,111,0,0,48,4
"2017","gob",5,"coahuila",33,18,1,0,185,1,20,134,1,4,126,4
"2017","gob",5,"coahuila",33,22,1,1,177,2,22,117,0,4,121,3
"2017","gob",5,"coahuila",33,26,1,0,194,4,14,105,0,1,125,0
"2017","gob",5,"coahuila",33,24,0,0,196,0,14,122,1,1,122,4
"2017","gob",5,"coahuila",33,28,1,0,193,0,18,111,1,3,141,4
"2017","gob",5,"coahuila",33,24,0,1,186,1,19,123,4,0,129,3
"2017","gob",5,"coahuila",33,30,0,0,198,7,17,127,1,3,131,3
"2017","gob",5,"coahuila",33,20,1,0,209,0,16,104,1,1,152,3
"2017","gob",5,"coahuila",33,23,1,0,213,3,21,117,0,1,144,6
"2017","gob",5,"coahuila",34,21,0,0,203,1,20,151,1,2,133,2
"2017","gob",5,"coahuila",34,18,1,0,190,3,19,153,1,2,131,2
"2017","gob",5,"coahuila",34,21,0,0,205,0,22,149,2,1,130,3
"2017","gob",5,"coahuila",34,17,2,0,178,1,21,173,0,2,130,4
"2017","gob",5,"coahuila",34,17,1,0,210,0,16,143,0,7,134,4
"2017","gob",5,"coahuila",34,12,1,1,208,2,26,135,3,7,141,1
"2017","gob",5,"coahuila",35,14,1,0,176,4,15,128,1,4,118,2
"2017","gob",5,"coahuila",35,12,0,0,199,0,12,144,0,2,137,4
"2017","gob",5,"coahuila",35,13,0,0,214,3,17,138,5,7,135,4
"2017","gob",5,"coahuila",35,21,0,0,179,0,16,112,1,2,116,3
"2017","gob",5,"coahuila",35,15,1,0,192,1,12,140,1,3,121,2
"2017","gob",5,"coahuila",35,19,0,0,182,1,21,132,1,2,117,2
"2017","gob",5,"coahuila",36,25,0,0,197,1,14,129,1,1,133,2
"2017","gob",5,"coahuila",36,20,0,0,211,0,5,130,4,3,160,1
"2017","gob",5,"coahuila",37,15,0,0,176,2,7,117,1,4,124,3
"2017","gob",5,"coahuila",37,17,0,1,156,0,17,112,1,6,119,3
"2017","gob",5,"coahuila",41,19,0,0,161,1,16,112,2,3,109,4
"2017","gob",5,"coahuila",41,15,2,0,173,1,17,107,0,2,112,1
"2017","gob",5,"coahuila",41,15,2,0,196,0,13,91,0,1,136,4
"2017","gob",5,"coahuila",41,19,1,0,167,0,12,87,1,1,106,2
"2017","gob",5,"coahuila",41,20,1,0,176,0,13,87,1,4,111,0
"2017","gob",5,"coahuila",41,16,1,0,165,0,24,100,0,4,115,4
"2017","gob",5,"coahuila",41,17,0,0,156,2,14,138,1,0,108,3
"2017","gob",5,"coahuila",41,7,1,0,199,0,5,135,1,2,159,3
"2017","gob",5,"coahuila",41,1,9,0,178,0,5,137,0,3,131,2
"2017","gob",5,"coahuila",42,0,0,0,174,18,3,118,0,11,58,3
"2017","gob",5,"coahuila",42,0,0,0,186,18,6,119,0,3,75,1
"2017","gob",5,"coahuila",42,36,0,0,199,9,1,119,0,7,78,2
"2017","gob",5,"coahuila",42,0,0,0,183,11,4,136,1,4,72,1
"2017","gob",5,"coahuila",42,33,1,0,101,4,2,75,0,1,15,1
"2017","gob",5,"coahuila",43,29,0,0,146,5,3,108,0,7,68,1
"2017","gob",5,"coahuila",43,25,1,0,144,5,4,111,2,2,65,0
"2017","gob",5,"coahuila",43,13,1,0,159,2,0,104,0,3,62,1
"2017","gob",5,"coahuila",44,4,0,0,160,2,2,164,0,3,45,1
"2017","gob",5,"coahuila",44,5,0,0,166,4,1,160,0,0,55,3
"2017","gob",5,"coahuila",45,46,0,0,215,2,5,137,0,4,76,0
"2017","gob",5,"coahuila",46,44,0,0,126,4,1,75,1,5,40,0
"2017","gob",5,"coahuila",46,27,0,0,125,4,2,93,0,2,50,0
"2017","gob",5,"coahuila",47,19,1,0,168,5,3,124,1,8,82,1
"2017","gob",5,"coahuila",47,17,0,0,175,1,5,138,1,5,87,1
"2017","gob",5,"coahuila",47,23,1,0,189,7,2,104,0,3,82,0
"2017","gob",5,"coahuila",48,0,0,0,204,3,4,210,1,7,83,0
"2017","gob",5,"coahuila",49,32,1,0,155,5,3,134,0,4,57,0
"2017","gob",5,"coahuila",49,16,1,0,155,2,3,131,1,2,52,1
"2017","gob",5,"coahuila",50,0,0,0,197,6,1,125,1,6,85,4
"2017","gob",5,"coahuila",50,34,0,0,181,3,2,112,0,3,60,0
"2017","gob",5,"coahuila",51,0,0,0,213,8,2,132,0,4,73,0
"2017","gob",5,"coahuila",51,15,1,0,205,9,6,137,2,7,78,1
"2017","gob",5,"coahuila",51,16,0,0,204,12,2,139,0,7,68,2
"2017","gob",5,"coahuila",52,29,1,0,198,8,3,137,0,2,67,0
"2017","gob",5,"coahuila",53,13,0,0,108,6,0,79,0,5,37,0
"2017","gob",5,"coahuila",53,17,0,0,119,3,2,92,0,6,33,1
"2017","gob",5,"coahuila",54,33,2,0,184,10,4,129,1,4,66,1
"2017","gob",5,"coahuila",54,42,1,0,214,8,3,110,0,3,88,1
"2017","gob",5,"coahuila",55,11,1,0,159,10,2,188,0,2,92,0
"2017","gob",5,"coahuila",55,6,0,0,192,14,2,204,0,5,113,1
"2017","gob",5,"coahuila",56,2,0,0,14,2,0,51,0,1,4,0
"2017","gob",5,"coahuila",57,23,3,0,161,1,11,174,1,3,2,5
"2017","gob",5,"coahuila",57,37,0,0,118,0,23,154,2,3,0,2
"2017","gob",5,"coahuila",57,32,4,0,145,4,10,178,2,3,2,1
"2017","gob",5,"coahuila",57,28,2,0,141,3,17,165,6,2,2,2
"2017","gob",5,"coahuila",57,21,5,0,168,2,9,138,2,4,1,0
"2017","gob",5,"coahuila",57,26,2,0,162,1,14,148,2,6,0,0
"2017","gob",5,"coahuila",58,41,3,1,157,6,4,175,0,3,2,1
"2017","gob",5,"coahuila",59,22,0,1,143,4,10,144,1,1,1,4
"2017","gob",5,"coahuila",59,13,6,0,132,4,20,143,4,3,1,5
"2017","gob",5,"coahuila",59,17,2,0,158,2,11,144,6,2,6,4
"2017","gob",5,"coahuila",61,1,0,0,17,0,8,140,0,6,0,2
"2017","gob",5,"coahuila",63,12,3,1,65,2,4,165,5,2,1,2
"2017","gob",5,"coahuila",63,9,3,0,84,0,13,170,0,1,2,2
"2017","gob",5,"coahuila",64,7,1,0,56,1,1,287,1,4,0,2
