"CODIGO_ESTADO","CODIGO_MUNICIPIO","MUNICIPIO"
5,1,"abasolo"
5,2,"acuna"
5,3,"allende"
5,4,"arteaga"
5,5,"candela"
5,6,"castanos"
5,7,"cuatro cienegas"
5,8,"escobedo"
5,9,"francisco i madero"
5,10,"frontera"
5,11,"general cepeda"
5,12,"guerrero"
5,13,"hidalgo"
5,14,"jimenez"
5,15,"juarez"
5,16,"lamadrid"
5,17,"matamoros"
5,18,"monclova"
5,19,"morelos"
5,20,"muzquiz"
5,21,"nadadores"
5,22,"nava"
5,23,"ocampo"
5,24,"parras"
5,25,"piedras negras"
5,26,"progreso"
5,27,"ramos arizpe"
5,28,"sabinas"
5,29,"sacramento"
5,30,"saltillo"
5,31,"san buenaventura"
5,32,"san juan de sabinas"
5,33,"san pedro"
5,34,"sierra mojada"
5,35,"torreon"
5,36,"viesca"
5,37,"villa union"
5,38,"zaragoza"
