"ANO","ELECCION","CODIGO_ESTADO","SECCION","CC1_GOB17","CC2_GOB17","CC3_GOB17","PAN","PNA","PRD","PRI","PSI","PT","PUDC","PVEM","CODIGO_MUNICIPIO"
"2017","gob",5,1,0,0,0,7486,38,0,11894,38,38,0,76,741
"2017","gob",5,2,190,38,0,3876,0,0,4066,0,38,0,0,741
"2017","gob",5,3,4750,38,0,26296,190,1520,18544,76,456,18316,418,2964
"2017","gob",5,4,6004,266,0,62624,228,5472,40166,114,912,43206,912,5187
"2017","gob",5,5,2964,38,0,18050,152,912,9386,152,342,11894,988,2223
"2017","gob",5,6,1482,0,0,9918,76,418,6270,76,76,5472,190,1482
"2017","gob",5,7,2280,0,0,12958,152,532,7866,0,228,7106,190,1482
"2017","gob",5,8,1786,38,0,12388,304,798,10070,114,266,7752,76,1482
"2017","gob",5,10,14668,342,0,135964,1178,12122,85614,494,2812,87666,2660,14820
"2017","gob",5,11,3306,190,0,28386,532,2318,19114,76,456,18696,494,2964
"2017","gob",5,12,3762,38,798,34656,646,2204,22838,76,380,22230,570,3705
"2017","gob",5,13,836,38,0,5168,228,190,3686,0,38,2508,38,741
"2017","gob",5,14,1368,0,0,7448,228,266,5168,114,38,4294,152,1482
"2017","gob",5,15,1444,114,0,7638,76,570,6156,114,114,4408,114,741
"2017","gob",5,16,1938,0,0,8322,114,190,6460,76,38,3648,152,1482
"2017","gob",5,17,4370,38,0,20482,646,380,9272,38,152,9158,228,2223
"2017","gob",5,18,3458,114,0,19000,266,1254,13110,76,418,11248,342,2223
"2017","gob",5,19,14440,684,0,115862,912,8132,64296,456,1710,78318,1368,10374
"2017","gob",5,20,1900,38,0,10716,152,342,5776,38,152,6118,76,1482
"2017","gob",5,21,570,38,0,12350,76,646,7030,76,190,8246,114,1482
"2017","gob",5,22,608,0,0,9386,76,266,5282,190,114,6498,76,1482
"2017","gob",5,23,836,0,0,4902,76,266,4104,0,152,2508,38,741
"2017","gob",5,24,646,0,0,6460,114,228,4180,0,0,3306,38,741
"2017","gob",5,25,3268,76,0,20292,152,342,11058,76,304,9576,266,2223
"2017","gob",5,26,2052,0,0,10716,228,76,4332,0,76,6346,38,741
"2017","gob",5,27,1330,0,0,9234,76,570,5396,190,190,6346,152,1482
"2017","gob",5,28,1824,114,0,15580,152,1102,10564,76,266,10298,342,1482
"2017","gob",5,29,950,0,0,18240,190,1216,11590,76,190,12350,418,2223
"2017","gob",5,30,4332,76,0,14858,304,494,7220,38,0,7638,76,1482
"2017","gob",5,31,11400,190,38,75772,1520,4218,39976,342,1064,50274,1254,6669
