cve_cas2,folio,dtto_loc,municipio,seccion,pan,pri,prd,pt,pvem,udc,pmc,pna,si,ppc,pj,prc,pcp,morena,es,PAN-UDC-PPC-ES,PAN-UDC-PPC,PAN-UDC-ES,PAN-PPC-ES,UDC-PPC-ES,PAN-UDC,PAN-PPC,PAN-ES,UDC-PPC,UDC-ES,PPC-ES,PRI-PVEM-PNA-SI-PJ-PRC-PCP,PRI-PVEM-PNA-SI-PJ-PRC,PRI-PVEM-PNA-SI-PJ-PCP,PRI-PVEM-PNA-SI-PRC-PCP,PRI-PVEM-PNA-PJ-PRC-PCP,PRI-PVEM-SI-PJ-PRC-PCP,PRI-PNA-SI-PJ-PRC-PCP,PVEM-PNA-SI-PJ-PRC-PCP,PRI-PVEM-PNA-SI-PJ,PRI-PVEM-PNA-SI-PRC,PRI-PVEM-PNA-SI-PCP,PRI-PVEM-PNA-PJ-PRC,PRI-PVEM-PNA-PJ-PCP,PRI-PVEM-PNA-PRC-PCP,PRI-PVEM-SI-PJ-PRC,PRI-PVEM-SI-PJ-PCP,PRI-PVEM-SI-PRC-PCP,PRI-PVEM-PJ-PRC-PCP,PRI-PNA-SI-PJ-PRC,PRI-PNA-SI-PJ-PCP,PRI-PNA-SI-PRC-PCP,PRI-PNA-PJ-PRC-PCP,PRI-SI-PJ-PRC-PCP,PVEM-PNA-SI-PJ-PRC,PVEM-PNA-SI-PJ-PCP,PVEM-PNA-SI-PRC-PCP,PVEM-PNA-PJ-PRC-PCP,PVEM-SI-PJ-PRC-PCP,PNA-SI-PJ-PRC-PCP,PRI-PVEM-PNA-SI,PRI-PVEM-PNA-PJ,PRI-PVEM-PNA-PRC,PRI-PVEM-PNA-PCP,PRI-PVEM-SI-PJ,PRI-PVEM-SI-PRC,PRI-PVEM-SI-PCP,PRI-PVEM-PJ-PRC,PRI-PVEM-PJ-PCP,PRI-PVEM-PRC-PCP,PRI-PNA-SI-PJ,PRI-PNA-SI-PRC,PRI-PNA-SI-PCP,PRI-PNA-PJ-PRC,PRI-PNA-PJ-PCP,PRI-PNA-PRC-PCP,PRI-SI-PJ-PRC,PRI-SI-PJ-PCP,PRI-SI-PRC-PCP,PRI-PJ-PRC-PCP,PVEM-PNA-SI-PJ,PVEM-PNA-SI-PRC,PVEM-PNA-SI-PCP,PVEM-PNA-PJ-PRC,PVEM-PNA-PJ-PCP,PVEM-PNA-PRC-PCP,PVEM-SI-PJ-PRC,PVEM-SI-PJ-PCP,PVEM-SI-PRC-PCP,PVEM-PJ-PRC-PCP,PNA-SI-PJ-PRC,PNA-SI-PJ-PCP,NA-SI-PRC-PCP,PNA-PJ-PRC-PCP,SI-PJ-PRC-PCP,PRI-PVEM-PNA,PRI-PVEM-SI,PRI-PVEM-PJ,PRI-PVEM-PRC,PRI-PVEM-PCP,PRI-PNA-SI,PRI-PNA-PJ,PRI-PNA-PRC,PRI-PNA-PCP,PRI-SI-PJ,PRI-SI-PRC,PRI-SI-PCP,PRI-PJ-PRC,PRI-PJ-PCP,PRI-PRC-PCP,PVEM-PNA-SI,PVEM-PNA-PJ,PVEM-PNA-PRC,PVEM-PNA-PCP,PVEM-SI-PJ,PVEM-SI-PRC,PVEM-SI-PCP,PVEM-PJ-PRC,PVEM-PJ-PCP,PVEM-PRC-PCP,PNA-SI-PJ,PNA-SI-PRC,PNA-SI-PCP,PNA-PJ-PRC,PNA-PJ-PCP,PNA-PRC-PCP,SI-PJ-PRC,SI-PJ-PCP,SI-PRC-PCP,PJ-PRC-PCP,PRI-PVEM,PRI-PNA,PRI-SI,PRI-PJ,PRI-PRC,PRI-PCP,PVEM-PNA,PVEM-SI,PVEM-PJ,PVEM-PRC,PVEM-PCP,PNA-SI,PNA-PJ,PNA-PRC,PNA-PCP,SI-PJ,SI-PRC,SI-PCP,PJ-PRC,PJ-PCP,PRC-PCP,cand_ind1,cand_ind2,cand_ind3,cand_nreg,nulos,TOTAL
0000B,G000000B,0,0,0,63,13,2,2,0,0,0,1,1,0,0,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,130
0001B,G010001B,5,1,1,193,299,0,1,2,0,0,1,1,0,6,1,1,36,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,555
0002B,G010002B,5,1,2,102,107,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,228
0003B,G020003B,1,2,3,49,100,19,4,3,122,0,1,0,0,7,0,0,18,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,8,359
0003C1,G020003C1,1,2,3,68,125,0,3,1,132,0,3,1,2,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,4,382
0003C2,G020003C2,1,2,3,31,104,11,3,4,129,0,1,0,1,6,0,0,21,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,9,352
0003C3,G020003C3,1,2,3,45,114,10,2,3,99,0,0,1,0,6,1,1,17,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,6,357
0004B,G020004B,1,2,4,60,137,24,2,2,162,0,2,1,0,8,1,0,16,4,1,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,4,459
0004C1,G020004C1,1,2,4,80,111,18,2,4,163,0,0,0,0,13,0,0,18,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,6,445
0004C2,G020004C2,1,2,4,67,143,19,4,5,158,0,0,0,0,19,2,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,14,485
