id,long,lat,order,hole,piece,group,CLAVEGEO,ENTIDAD,DISTRITO,SECCION,GRAPROES,GRAPROES_F,GRAPROES_M,HOGJEF_F,HOGJEF_M,OCUPVIVPAR,P12YM_CASA,PCON_LIM,PCLIM_MEN2,PCLIM_MOT,PCLIM_AUD,PCLIM_LENG,PCLIM_MEN,PCLIM_VIS,PCLIM_MOT2,POTRAS_REL,PCATOLICA,P_3YMAS,P_5YMAS,P_0A2,P_12A14,P12A14NOA,P_12YMAS,P_15A17,P15A17A,POB15_64,P_15YMAS,P15YM_AN,P15PRI_CO,P15PRI_IN,P15SEC_CO,P15SEC_IN,P15YM_SE,P_18A24,P18A24A,P_18YMAS,P18YM_PB,P_3A5,P3A5_NOA,P3YM_HLI,P3HLI_HE,P3HLINHE,P5_HLI,P5_HLI_HE,P5_HLI_NHE,PRES2005,PRESOE05,P_6A11,P6A11_NOA,P_60YMAS,POB65_MAS,P_8A14,P8A14AN,POB0_14,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PDER_SEGP,PDESOCUP,PEA,POBHOG,PHOGJEF_F,PHOGJEF_M,PHOG_IND,POBFEM,P8A14AN_F,P_0A2_F,P_12A14_F,P12A14NOAF,P_12YMAS_F,P_15A17_F,P15A17A_F,P_15A49_F,P_15YMAS_F,P15YM_AN_F,P15PRI_COF,P15PRI_INF,P15SEC_COF,P15SEC_INF,P15YM_SE_F,P_18A24_F,P18A24A_F,P_18YMAS_F,P18YM_PB_F,P_3A5_F,P3A5_NOA_F,P_3YMAS_F,P3YM_HLI_F,P3HLI_HE_F,P3HLINHE_F,P_5YMAS_F,PRES2005_F,PRESOE05_F,P_6A11_F,P6A11_NOAF,P_60YMAS_F,P_8A14_F,PDESOCUP_F,PEA_F,PNACENT_F,PNACOE_F,PE_INAC_F,POCUPADA_F,POBMAS,P_0A2_M,P_12A14_M,P12A14NOAM,P_12YMAS_M,P_15A17_M,P15A17A_M,P_15YMAS_M,P15YM_AN_M,P15PRI_COM,P15PRI_INM,P15SEC_COM,P15SEC_INM,P15YM_SE_M,P_18A24_M,P18A24A_M,P_18YMAS_M,P18YM_PB_M,P_3A5_M,P3A5_NOA_M,P_3YMAS_M,P3YM_HLI_M,P3HLI_HE_M,P3HLINHE_M,P_5YMAS_M,PRES2005_M,PRESOE05_M,P_6A11_M,P6A11_NOAM,P_60YMAS_M,P_8A14_M,P8A14AN_M,PDESOCUP_M,PEA_M,PNACENT_M,PNACOE_M,PE_INAC_M,POCUPADA_M,PNACENT,PNACOE,PE_INAC,POCUPADA,P12YM_SEPA,PSINDER,PSIN_LIM,PSIN_RELIG,P12YM_SOLT,POBTOT,PROM_HNV,PROM_OCUP,PRO_OCUP_C,PNCATOLICA,REL_H_M,TOTHOG,VIVTOT,TVIVHAB,TVIVPAR,TVIVPARHAB,VIVPAR_UT,VIVPAR_DES,VIVPAR_HAB,VPH_3YMASC,VPH_2CUART,VPH_2YMASD,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_1CUART,VPH_AGUADV,VPH_AUTOM,VPH_PC,VPH_DRENAJ,VPH_EXCSA,VPH_INTER,VPH_LAVAD,VPH_TELEF,VPH_C_ELEC,VPH_C_SERV,VPH_RADIO,VPH_REFRI,VPH_CEL,VPH_TV,VPH_AGUAFV,VPH_NODREN,VPH_S_ELEC,VPH_SNBIEN,MUN_IFE,MUN_INEGI
0,-97.690584963559,21.3592357103517,1,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
0,-97.6904700548065,21.3591127007667,2,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
0,-97.690395645863,21.3590341068281,3,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
0,-97.6911081561396,21.3587991344972,4,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
0,-97.691302313364,21.3587351048949,5,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
0,-97.6914334835271,21.3586918470437,6,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
0,-97.6916681785184,21.3583790357027,7,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
0,-97.691760275306,21.3582456685331,8,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
0,-97.6918725171637,21.3580831293369,9,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
0,-97.6920422887769,21.3578644989366,10,FALSE,1,0.1,3000101500320,30,1,320,8.8,8.49,9.16,90,197,1048,451,78,6,37,11,10,0,18,0,0,887,1013,973,35,57,2,838,48,37,658,781,44,113,112,170,20,44,116,51,733,288,67,30,6,6,0,6,6,0,926,42,108,2,169,123,127,1,267,795,277,102,2,244,11,417,1048,284,764,14,558,1,13,25,1,449,19,18,276,424,28,66,62,83,8,31,57,29,405,150,34,16,539,3,3,0,519,502,15,56,1,101,63,1,145,500,50,304,144,499,22,32,1,389,29,19,357,16,47,50,87,12,13,59,22,328,138,33,14,474,3,3,0,454,424,27,52,1,68,64,0,10,272,425,70,116,262,925,120,420,406,104,252,967,42,282,1057,2.55,3.65,0.95,114,89.43,287,319,290,316,290,10,19,287,219,51,167,284,2,119,16,284,114,74,283,286,50,199,131,285,282,194,259,182,272,2,3,1,4,15,13
