Seccion,Casilla,Eleccion,Municipio,Distrito,Estatus,LN,Total,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente,Votos Anulados
1,BASICA,Diputados Locales,Abasolo,20,Acta contabilizada,410,336,56,85,52,3,32,43,30,14,0,5,2,0,7,7
1,CONTIGUA 1,Diputados Locales,Abasolo,20,Acta contabilizada,410,335,35,103,72,7,24,40,21,10,0,7,3,0,3,10
2,BASICA,Diputados Locales,Abasolo,20,Acta contabilizada,695,555,56,177,114,12,31,73,37,9,0,11,5,0,15,15
2,CONTIGUA 1,Diputados Locales,Abasolo,20,Acta contabilizada,695,549,64,181,106,20,21,65,47,3,0,12,4,0,8,18
3,BASICA,Diputados Locales,Agualeguas,22,Acta contabilizada,419,325,134,123,0,1,53,3,2,3,1,0,0,0,0,5
3,CONTIGUA 1,Diputados Locales,Agualeguas,22,Acta contabilizada,419,318,154,106,0,0,45,2,3,0,4,0,0,1,0,3
4,BASICA,Diputados Locales,Agualeguas,22,Acta contabilizada,433,314,147,118,0,2,42,0,0,0,0,0,0,0,0,5
5,BASICA,Diputados Locales,Agualeguas,22,Acta contabilizada,515,402,183,140,0,1,53,5,6,4,2,1,0,2,0,5
6,BASICA,Diputados Locales,Agualeguas,22,Acta contabilizada,559,403,148,131,1,0,88,6,0,6,0,1,1,7,0,14
7,BASICA,Diputados Locales,Agualeguas,22,Acta contabilizada,202,130,34,28,0,0,66,0,0,0,0,0,0,0,0,2
8,BASICA,Diputados Locales,Agualeguas,22,Acta contabilizada,337,249,78,107,1,1,42,4,0,0,0,0,0,1,0,15
9,BASICA,Diputados Locales,Agualeguas,22,Acta contabilizada,337,236,126,25,0,0,79,2,0,0,0,0,1,1,0,2
10,BASICA,Diputados Locales,Agualeguas,22,Acta contabilizada,374,274,90,84,1,1,73,4,7,0,1,0,1,0,0,12
11,BASICA,Diputados Locales,Agualeguas,22,Acta contabilizada,197,132,65,47,0,0,14,1,0,0,0,0,1,1,0,3
