ANO,ELECCION,CODIGO_ESTADO,NOMBRE_ESTADO,NOMBRE_MUNICIPIO,DISTRITO_LOCAL_INE_2016,SECCION,NOMINAL,CNR,MORENA,NULOS,PAN,PNA,PRD,PRI,PRS,PSD,PT,PUP,PVEM
2016,gob,20,oaxaca,ABEJONES,9,1,877,0,105,26,,8,28,,16,17,55,8,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,2,680,1,49,8,,1,13,,1,0,33,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,3,1613,1,152,26,,0,21,,0,1,22,3,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,4,1597,0,109,41,,7,23,,1,3,30,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,5,,0,77,6,,1,16,,0,0,31,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,6,1735,0,193,25,,5,55,,1,1,30,2,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,7,922,0,82,20,,2,40,,1,1,9,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,8,712,0,38,9,,1,10,,0,1,6,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,9,682,0,50,4,,0,22,,1,1,2,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,10,1206,0,85,19,,0,12,,1,0,15,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,11,1502,0,91,12,,1,23,,2,2,13,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,12,1616,0,109,17,,4,11,,0,1,8,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,13,613,0,13,10,,2,9,,0,1,4,2,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,14,774,0,25,18,,2,5,,1,2,3,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,15,765,0,33,14,,4,8,,1,1,4,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,16,332,0,21,2,,2,7,,0,0,0,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,17,1169,2,56,16,,5,27,,1,0,23,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,18,422,0,33,6,,0,5,,1,0,1,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,19,563,0,27,5,,0,9,,0,0,1,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,20,674,0,25,10,,1,22,,0,0,43,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,21,1145,0,171,21,,6,72,,2,4,91,2,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,22,515,0,21,5,,4,22,,0,3,15,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,23,639,0,31,10,,0,4,,0,2,3,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,24,1105,0,38,28,,2,12,,0,13,29,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,25,803,0,51,15,,2,14,,1,2,20,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,26,871,0,17,6,,4,8,,0,1,2,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,27,699,0,48,2,,1,10,,0,3,21,1,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,28,753,0,58,9,,1,8,,0,2,15,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,29,1092,0,31,14,,2,23,,0,1,5,2,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,30,786,0,17,13,,3,35,,0,1,8,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,31,1774,1,87,21,,3,28,,0,4,8,2,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,32,385,0,6,9,,1,9,,0,1,10,0,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,33,1269,0,65,18,,2,17,,1,1,21,2,
2016,gob,20,oaxaca,ACATLAN DE PEREZ FIGUEROA,1,34,1195,0,103,23,,10,42,,1,3,28,1,
2016,gob,20,oaxaca,ÁNIMAS TRUJANO,16,35,1255,0,167,14,,2,68,,12,8,88,15,
2016,gob,20,oaxaca,ÁNIMAS TRUJANO,16,36,1693,2,197,17,,2,81,,14,3,101,13,
2016,gob,20,oaxaca,SANTA CRUZ XOXOCOTLAN,15,37,1851,0,246,34,,6,146,,25,22,149,15,
2016,gob,20,oaxaca,SANTA CRUZ XOXOCOTLAN,15,38,1292,0,123,23,,4,112,,11,15,83,13,
2016,gob,20,oaxaca,ASUNCION CACALOTEPEC,10,39,659,0,181,12,,1,15,,6,6,73,1,
2016,gob,20,oaxaca,ASUNCION CACALOTEPEC,10,40,461,0,59,15,,3,8,,2,9,21,5,
2016,gob,20,oaxaca,ASUNCION CACALOTEPEC,10,41,588,0,121,29,,6,37,,7,10,14,8,
2016,gob,20,oaxaca,ASUNCION CUYOTEPEJI,6,42,861,0,70,14,,0,7,,1,1,8,0,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,43,731,0,214,10,,15,138,,1,0,6,1,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,44,836,0,152,21,,51,129,,0,1,16,4,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,45,776,0,142,15,,10,136,,2,2,19,1,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,46,968,1,164,25,,30,186,,0,1,13,3,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,47,1300,0,187,19,,24,365,,1,0,17,4,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,48,759,0,67,9,,9,200,,0,2,10,1,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,49,1007,0,215,23,,24,216,,1,1,18,4,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,50,724,0,39,19,,33,149,,2,3,4,1,
2016,gob,20,oaxaca,ASUNCION IXTALTEPEC,19,51,982,0,32,12,,1,75,,0,0,3,2,
